delomrade,lan,latitud,longitud,groda,sort,jordart,sadatum,skordear,graderingsdatum,graderingstyp,forforfrukt,forfrukt,ekologisk,plojt,utvecklingsstadium,Bladfläcksvampar,Gulrost,Svartpricksjuka,Sädesbladlus
SV Skåne,Skåne län,6136000,388000,Höstvete,Mariboss,,,2016,2016-06-27,Veckovis,,,False,,75,4.0,0.0,4.0,0.16
SV Skåne,Skåne län,6136000,388000,Höstvete,Mariboss,,,2016,2016-07-04,Veckovis,,,False,,85,4.0,0.0,4.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-04-17,Veckovis,,,False,,23,22.0,0.0,22.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-04-24,Veckovis,,,False,,23,24.0,0.0,24.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-05-01,Veckovis,,,False,,30,24.0,0.0,24.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-05-08,Veckovis,,,False,,31,18.0,0.0,18.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-05-15,Veckovis,,,False,,31,14.0,0.0,14.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-05-22,Veckovis,,,False,,32,12.0,0.0,12.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-05-29,Veckovis,,,False,,39,0.0,0.0,0.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-06-12,Veckovis,,,False,,57,0.0,0.0,0.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-06-19,Veckovis,,,False,,65,8.0,0.0,8.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-06-26,Veckovis,,,False,,75,28.0,0.0,28.0,2.8
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-07-03,Veckovis,,,False,,77,34.0,6.0,32.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,,,2017,2017-07-10,Veckovis,,,False,,83,90.0,6.0,86.0,0.2
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-04-23,Veckovis,Vårkorn,Höstraps,False,False,23,26.0,0.0,26.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-04-30,Veckovis,Vårkorn,Höstraps,False,False,30,18.0,0.0,18.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-05-07,Veckovis,Vårkorn,Höstraps,False,False,30,8.0,0.0,8.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-05-14,Veckovis,Vårkorn,Höstraps,False,False,31,2.0,0.0,2.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-05-21,Veckovis,Vårkorn,Höstraps,False,False,37,0.0,0.0,0.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-05-28,Veckovis,Vårkorn,Höstraps,False,False,47,0.0,4.0,0.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-06-04,Veckovis,Vårkorn,Höstraps,False,False,65,0.0,4.0,0.0,1.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-06-11,Veckovis,Vårkorn,Höstraps,False,False,71,0.0,4.0,0.0,0.8
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-06-18,Veckovis,Vårkorn,Höstraps,False,False,83,0.0,4.0,0.0,11.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-06-25,Veckovis,Vårkorn,Höstraps,False,False,83,0.0,4.0,0.0,59.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Brons,Lättlera (15-25 % ler),2017-09-29,2018,2018-06-29,Veckovis,Vårkorn,Höstraps,False,False,83,0.0,4.0,0.0,47.8
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-04-15,Veckovis,,,False,,23,40.0,0.0,40.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-04-23,Veckovis,,,False,,30,33.0,0.0,33.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-04-29,Veckovis,,,False,,31,26.0,0.0,26.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-05-06,Veckovis,,,False,,32,20.0,0.0,20.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-05-11,Veckovis,,,False,,37,14.0,0.0,14.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-05-20,Veckovis,,,False,,37,4.0,0.0,4.0,0.0
SV Skåne,Skåne län,6136000,388000,Höstvete,Praktik,,,2019,2019-05-27,Veckovis,,,False,,43,14.0,0.0,14.0,0.0
